# fintech-algorithms	0.13.0
# topic_id	subpath	entry
D00-F08-A06	fintech-algorithms/foundations/sampling-estimation-and-statistical-inference/standard-error	standardError
D00-F08-A07	fintech-algorithms/foundations/sampling-estimation-and-statistical-inference/confidence-intervals-and-coverage	confidenceIntervalsAndCoverage
D00-F08-A08	fintech-algorithms/foundations/sampling-estimation-and-statistical-inference/null-and-alternative-hypotheses	nullAndAlternativeHypotheses
D00-F08-A09	fintech-algorithms/foundations/sampling-estimation-and-statistical-inference/p-values-significance-type-i-ii-errors-and-power	pValuesSignificanceTypeIIiErrorsAndPower
D00-F08-A10	fintech-algorithms/foundations/sampling-estimation-and-statistical-inference/effect-size-practical-significance-and-multiple-comparisons	effectSizePracticalSignificanceAndMultipleComparisons
D00-F09-A01	fintech-algorithms/foundations/dependence-regression-and-model-foundations/scatter-plots-association-and-nonlinear-patterns	scatterPlotsAssociationAndNonlinearPatterns
D00-F09-A02	fintech-algorithms/foundations/dependence-regression-and-model-foundations/sample-covariance-calculation-and-interpretation	sampleCovarianceCalculationAndInterpretation
D00-F09-A03	fintech-algorithms/foundations/dependence-regression-and-model-foundations/pearson-correlation-calculation-and-interpretation	pearsonCorrelationCalculationAndInterpretation
D00-F09-A04	fintech-algorithms/foundations/dependence-regression-and-model-foundations/spearman-rank-correlation-and-kendall-tau	spearmanRankCorrelationAndKendallTau
D00-F09-A05	fintech-algorithms/foundations/dependence-regression-and-model-foundations/correlation-causation-confounding-and-spurious-relationships	correlationCausationConfoundingAndSpuriousRelationships
D00-F09-A06	fintech-algorithms/foundations/dependence-regression-and-model-foundations/simple-ordinary-least-squares-regression	simpleOrdinaryLeastSquaresRegression
D00-F09-A07	fintech-algorithms/foundations/dependence-regression-and-model-foundations/intercepts-slopes-coefficients-and-predictions	interceptsSlopesCoefficientsAndPredictions
D00-F09-A08	fintech-algorithms/foundations/dependence-regression-and-model-foundations/residuals-mae-mse-and-rmse	residualsMaeMseAndRmse
D00-F09-A09	fintech-algorithms/foundations/dependence-regression-and-model-foundations/r-squared-and-adjusted-r-squared	rSquaredAndAdjustedRSquared
D00-F09-A10	fintech-algorithms/foundations/dependence-regression-and-model-foundations/regression-assumptions-heteroskedasticity-and-multicollinearity	regressionAssumptionsHeteroskedasticityAndMulticollinearity
